first_name,last_name,stand_name,organization,department,TPM_role,TPM_category,TPM_inq_com,TPM_project,year_joined,TPM_bio,ORCID_ID,Scopus_ID
Anna,Santure,"Santure, A",University of Auckland,School of Biological Sciences,Principal Investigator,Principal Investigator,NA,,2023,"Anna Santure is an Associate Professor in genetics in Te Kura Matauranga Koiora the School of Biological Sciences at Waipapa Taumata Rau the University of Auckland. Anna’s research leverages and integrates complex, ‘big’ data, including genomic, life history, environmental, temporal and spatial information, to explain and predict the potential of wild populations to adapt to our rapidly changing world.  A key arm of Anna’s research aims to utilise genomic tools to infer threatened taonga species’ adaptive potential and to integrate this knowledge into management decisions in consultation and partnership with kaitiaki and stakeholders. Anna currently co-leads two national projects, both funded by MBIE; a Genomics Aotearoa ‘High Quality Genomes and Population Genomics’ project, and the ‘Modelling biodiversity’ project within the Strategic Science Investment Fund (SSIF) Data Science Research Programme.",0000-0001-8965-1042,14219508100
Emma ,Sharp,"Sharp, E",University of Auckland,School of Environment,Principal Investigator,Principal Investigator,NA,Artifical Intelligence; Kindness in Science,2019,"Emma Sharp has a PhD (2018) from the University of Auckland in food politics. She is a geographer with broad interests in food system sustainability, feminist theory, care, and alternative economies. She has an MSc (2004) in glacial geomorphology and has previously worked in government, consultancy, and the third sector internationally on environmental, education and humanitarian issues. Emma is a founding member of the NZ Women and Gender Geographies Research Network (2013-), now Gender and Geography Aotearoa. She runs the Critical Food Studies Group housed in ENV (2018-) and co-leads the Te P?naha Matatini research cluster on Aotearoa’s Future Foods. She convenes the Australasian Agrifoods Research Network (AFRN) and is a member of the Community Economies Research Network Aotearoa New Zealand (the NZ chapter of the Community Economies Institute). She co-leads Soilsafe Aotearoa and its spinoff project, Soilsafe Kids.
",0000-0002-4052-6918,56602470900
Dianne,Sika-Paotonu,"Sika-Paotonu, D",University of Otago,Department of Health Sciences,Principal Investigator,Principal Investigator,NA,,2023,"Dianne Sika-Paotonu is an Associate Professor in Biomedical and Health Sciences (Immunology) and Associate Dean (Pacific), in the Dean’s Department, Wellington School of Medicine and Health Sciences, University of Otago. Dianne is an award winning scientist who is currently leading research in drug design for rheumatic fever prevention, heart health equity and infectious diseases, and early cancer detection for vulnerable communities. Dianne collaborates, engages and works closely with communities, and with researchers from other disciplines, clinicians, Pacific and Maori colleagues, with a focus and emphasis on research work that has impact is inclusive, respectful, helpful and meaningful for communities.
",0000-0003-1930-1551,14322266400
Michael,Small,"Small, M",University of Western Australia,Complex Systems,International Advisory Board,International Advisory Board,NA,,2024,"Professor Michael Small is the CSIRO-UWA Chair of Complex Systems and the Director of the UWA Data Institute. Michael’s research spans the domains of complex systems and chaos. He is Deputy Editor in Chief of the Journal Chaos and Main Editor of Physica A (Network Science). Michael is Chief Investigator on two current Australian Research Council Industrial Transformation Research Program Centres. His work spans the application of data-driven modelling in nonlinear dynamics and complex systems and includes applications in predictive maintenance, suicide and mental health, traffic modelling, bioinformatics and  animal welfare. In 2022 he was recognised with the  Afraimovich Award for Contributions to Nonlinear Science and Complexity.",0000-0001-5378-1582,7201846419
Inga,Smith,"Smith, I",University of Otago,Department of Physics,Principal Investigator,Principal Investigator,NA,,2019,"Inga Smith specialises in sea ice and energy research, particularly the influence of freshwater on Antarctic sea ice formation in a warming climate. She is based in the University of Otago’s Department of Physics. Inga’s research interests include supercooling measurement instrumentation, platelet ice formation, climate modelling of ice-ocean interactions, international transport emissions, and building physics. Inga is the co-chair of the CLIVAR/CliC/SCAR Southern Ocean Region Panel, an international research coordination panel. She is PI on sea ice and climate change related projects funded by the Marsden Fund and Deep South National Science Challenge.",NA,25925460000
Tammy,Steeves,"Steeves, T",University of Canterbury,School of Biological Sciences,Culture of Research Excellence Community of Inquiry Lead,Strategic Leadership Group,Culture of Research Excellence,Kindness in Science,2019,"Tammy is a Professor of Conservation Genomics at Te Whare Wananga o Waitaha the University of Canterbury where she co-leads the Conservation, Systematics and Evolution Research Team (ConSERT). Tammy’s research interests focus on the ecological and evolutionary processes that contribute to the formation and maintenance of species boundaries, and the application of this knowledge to enhance the recovery of species at risk. In partnership with mana whenua and in collaboration with conservation practitioners, her team uses genomic and non-genomic data to co-develop conservation genetic management strategies for some of Aotearoa New Zealand’s rarest taonga species.",0000-0003-2112-5761,7004361366
Simon,Stewart,"Stewart, S",Crawthorn Institute,Freshwater Science,Principal Investigator,Principal Investigator,NA,,2023,"Simon Stewart (Ngati Kahungunu ki Wairoa) is a freshwater scientist at the Cawthron Institute. His research focuses on exploring and quantifying connectivity and fluxes within and across aquatic ecosystems. This includes diet connectivity within food webs which across ecosystem boundaries as well and transport of nutrients across aquascapes. Ultimately, Simon uses fundamental approaches to address applied issues within Aotearoa freshwater ecosystems. This involves working closely with local communities and hap?.",0000-0003-1916-5481,57235540700
Priya,Subramanian,"Subramanian, P",University of Auckland,School of Mathematics,Principal Investigator,Principal Investigator,NA,,2023,"Dr Priya Subramanian is a Senior Lecturer in the Department of Mathematics at the University of Auckland. Her research focuses on looking at self-organisation and emergent phenomena in diverse physical systems such as thermoacoustics, fluid flows, and soft matter systems from a pattern formation perspective. Priya looks to rigorously re-purpose techniques and methods from diverse areas such as computational algebraic geometry, topological data analysis, equivalent bifurcation theory and nonlinear dynamics and apply them to minimal models in order to understand the mechanisms that produce the wide variety of observed behaviours.",0000-0001-7971-2091,35786615800
Julia,Talbot-Jones,"Talbot-Jones, J",Victoria University of Wellington,School of Government,Principal Investigator,Principal Investigator,NA,,2023,"Julia Talbot-Jones is an environmental and institutional economist in the School of Government at Te Herenga Waka – Victoria University of Wellington. Her research investigates how social arrangements or structures, what economists call institutions, can solve environmental and natural resource problems over time. Her transdisciplinary research builds on insights from her academic training in economics, ecology, and natural resource management. Julia leads the freshwater program at Motu Economic and Public Policy Research.",0000-0002-8425-1792,57201465027
Hiran,Thabrew,"Thabrew, H",University of Auckland,School of Psycological Medicine,Principal Investigator,Principal Investigator,NA,,2023,"Hiran Thabrew is a dual-trained child psychiatrist and paediatrician. He is a senior lecturer in the Department of Psychological Medicine at the at the University of Auckland and a member of the Consult Liaison Team at Starship Children’s Hospital. He is also the director of Te Ara Haro, Centre for Infant, Child and Adolescent Mental Health, director of a national Child and Adolescent Research Network (CARN) and a non-profit organisation for the promotion of children’s mental health (ICAMH.org). Hiran’s research is focused on improving the wellbeing and mental health of children and young people. Current research topics include the development of eHealth interventions to reduce anxiety; suicide prevention; the care of children with long-term physical conditions, eating disorders and autism; school-based health; and Covid-related mental health issues.",0000-0002-8755-6217,17339743000
Holly,Thorpe,"Thorpe, H",University of Waikato,School of Health,Investigator Representative,Strategic Leadership Group,NA,,2023,"Professor Holly Thorpe is a sociologist in Te Huataki Waiora School of Health at the University of Waikato. She works across disciplines, and with a range of theories and methods, to explore the complexities of sport, physical activity, gender and wellbeing in local and global contexts. She has published over 100 articles and chapters on these topics, and has authored four books and nine edited books. She is a Fulbright and Leverhulme Fellow, and most recently, a recipient of a two year Royal Society of New Zealand James Cook Fellowship working with a multicultural team to understand how the pandemic has impacted women in Aotearoa, and their efforts to rebuild community in times of challenge and uncertainty. Driven to do research that contributes towards social change, Holly works closely with an array of international and national sports organisations to inform new practices, processes and policy development.",0000-0002-2420-1929,12143371300
Atawhai,Tibble,"Tibble, A",Social Investment Agency,Chief Maori Advisor,Advisory Board,Advisory Board,NA,,2021,"Of Ngati Porou, Te Whanau a Apanui, Tuwharetoa, Whanganui, and Raukawa ki te Tonga descent, Atawhai is a Wellington-based strategic policy advisor, with interests spanning the economics of Maori well-being, the valuation of Maori language and culture, the measurement of cultural capital, the behavioural drivers of Maori outcomes, and Maori economic and social policy more generally. Atawhai is fluent in te reo Maori and has expertise in tikanga Maori. He led the development of the first ever survey of indigenous wellbeing undertaken by a national statistics agency – Te Kupenga. He then led the Maori Living Standards Framework project at the NZ Treasury. Atawhai currently works three days a week at the Social Investment Agency as the Chief Maori Advisor. The other two days a week he devotes to Maori research and policy projects.
",NA,NA
Jonathan,Tonkin,"Tonkin, J",University of Canterbury,School of Biological Sciences,Principal Investigator,Principal Investigator,NA,River Climate Change,2019,"Jonathan (Jono) is a quantitative community ecologist in the School of Biological Sciences at the University of Canterbury. Jono’s research includes uncovering the causes and consequences of species roles in complex multilayer interaction networks, developing mechanistic models to improve the forecast of biodiversity under global change, understanding the structure and dynamics of biodiversity in river networks, and quantifying multi-scale ecological stability. He was recently awarded a Rutherford Discovery Fellowship and the inaugural New Zealand Freshwater Sciences Society Early Career Researcher Award. He is also an editor at Freshwater Biology, Austral Ecology and PeerJ.",0000-0002-6053-291X,35575180300
Te Rerekohu,Tuterangiwhiu,"Tuterangiwhiu, T",Crawthorn Institute,Kaiarahi Rangahau Kaim?ana,Principal Investigator,Principal Investigator,NA,,2023,"Ko Mongero te Maunga. Ko te Huehue te Awa. Ka rere ki Punak?tere, Ka rere ki te awa o Waima-Tuhirangi, Ka rere ki te Puna o te Ao Marama, ki te awa o Te Hokianga nui a Kupe, ka tau ki te Moana Tapokopoko a Tawhaki. Ko Ngai Tawake ko Ngati Waihar? t?nei. I tupu ake ahau i roto i te Tai Tokerau, a, ko te reo Maori t?ku reo tuatahi, otira, t?ku oro whanake. Ko te ao maori te tahuhu nui o aku mahi katoa. Te Rerekohu Tuterangiwhiu is currently a Kaiarahi Rangahau Kaim?ana at Cawthron Institute in Nelson. He is interested in areas where science and p?taiao meet, traditional and customary practices and those practices that are encompassing of manaakitanga and kaitiakitanga in te ao t?roa the natural world. Te Rerekohu’s approach to research was inspired by growing up in the presence of native speakers and practitioners of matauranga Maori in Ngapuhi. ",NA,58139745200
Rhema,Vaithianathan,"Vaithianathan, R",Auckland University of Technology,Centre for Social Data Analytics,Principal Investigator,Principal Investigator,NA,,2023,"Rhema Vaithianathan is a Professor in Health Economics, and the Director of the Centre for Social Data Analytics, at Auckland University of Technology (AUT). She specialises in the use of integrated administrative data with machine learning tools in health and human services including child welfare and homelessness. Rhema’s work is focussed on translational research and she led the development and deployment of the Allegheny Family Screening Tool, one of the first uses of predictive risk models in Child Welfare.
",0000-0002-8899-5254,6602352226
Sandra,Velarde,"Velarde, S",WSP,Principal Bioeconomy Innovation,Principal Investigator,Principal Investigator,NA,,2019,"Sandra works on bioeconomy innovation at WSP. Her interests are bridging the science-policy gap, land-based futures, indigenous forests and urban green spaces. She has worked in national and international organisations on sustainability issues in Peru, Italy, Kenya, Brazil, Australia and New Zealand. Sandra uses visual tools for sense-making and enjoys graphic recording, marketing her family business, and advocating for systemic change and equity in science and policy.",0000-0001-9599-3882,16040823900
Grace,Villamor,"Villamor, G",Scion,Economy and Society,Principal Investigator,Principal Investigator,NA,,2023,"Grace B. Villamor is a Senior Scientist and Research Group Leader for Economy and Society at Scion. Her research interests include understanding human decision making and behaviour of land managers under different internal and external factors (e.g., climate change, market, and social characteristics such as gender) using participatory approaches and its interactions with biophysical models. Grace has developed role-playing games (such as Grazing and Flood risk games) as decision and negotiation support tools for local farmers and decision makers which are currently used as teaching tools in several universities. Her current research at Scion is focused on managing risks and uncertainty for Resilient Forests, developing integrated assessment tools for understanding the waterflows in plantation forests and assessing socio-economic impacts of forest-based biofuels in New Zealand.
",0000-0003-1532-9004,14629692200
Cameron,Walker,"Walker, C",University of Auckland,School of Engineering Science,Principal Investigator,Principal Investigator,NA,Modelling Healthcare Delivery,2016,"Cameron is a Professor in the Department of Engineering Science at the University of Auckland. He first joined the department as a faculty member in 1998 after completing his PhD in Mathematics. Cameron’s research area is computational analytics and he is currently lending his expertise to a range of major collaborative research programmes based in New Zealand and internationally. In particular, he specialises in building models that utilise system measurements to understand the dynamics of those systems, and often incorporates optimisation techniques to help decision makers improve their system performance.",0000-0003-3176-9341,7402887425
Leilani,Walker,"Walker, L",Auckland University of Technology,Department of Environmental Science,Principal Investigator,Principal Investigator,NA,Kindness in Science,2019,"Leilani is a lecturer in the Faculty of Heath and Environmental Science at AUT. Previously she was the R.T. Shannon Assistant Curator in Entomology at Tamaki Paenga Hira Auckland War Memorial Museum. Leilani completed her PhD in behavioural ecology and evolution at the University of Auckland and her research interests include biodiversity, animal behaviour and relationships between New Zealanders and native flora and fauna.",0000-0003-3193-5258,57190274432
Krushil,Watene,"Watene, K",University of Auckland,School of Humanities,Principal Investigator,Principal Investigator,Culture of Research Excellence,Modelling Healthcare Delivery; System Change,2019,"Krushil Watene is the Peter Kraus Associate Professor in Philosophy at Waipapa Taumata Rau the University of Auckland. Krushil’s research addresses fundamental questions in moral and political philosophy, particularly those related to well-being, development, and justice. Her primary areas of expertise include mainstream theories of well-being and justice (particularly the capability approach), obligations to future generations, and indigenous (particularly Maori) philosophies. Krushil’s recent research pioneers high-level discussions of indigenous concepts in global justice theorising, grounded in research that demonstrates the central role of local indigenous communities.",0000-0003-2837-7574,55612294300
Priscilla,Wehi,"Wehi, P",University of Otago,Centre for Sustainability,Co-Director,Executive Team; Strategic Leadership Group,NA,Dry Valleys; Maori Horticulture; Kindness in Science,2018,"Priscilla (Cilla) is a conservation biologist based at the Centre for Sustainability at the University of Otago. She completed a PhD in ecology and Maori at the University of Waikato in 2006, and her research intersects the sciences and humanities, focusing on animal ecology, culture and biodiversity. She has relationships through her extended family networks with Tainui waka, Ngapuhi and T?hoe. A 2014 Rutherford Discovery Fellow and 2021 Hill Tinsley Medal winner, Cilla is passionate about inclusivity in science and is a 2022 Facilitator in the Homeward Bound programme for women in science leadership. Cilla is also a member of the Kindness in Science Collective sponsored by Te P?naha Matatini.",0000-0001-9821-8160,14014354900
H?mi ,Whaanga,"Whaanga, H",University of Waikato,Faculty of Maori and Indigenous Studies,Principal Investigator,Principal Investigator,NA,Knowledge Sharing,2021,"Professor H?mi Whaanga is Head of School at Te Pua Wananga ki te Ao, the Faculty of Maori and Indigenous Studies at the University of Waikato. H?mi has been involved, in various capacities as a project leader, writer and researcher, in a range of linguistic, indigenous Maori knowledge (Matauranga Maori) and curriculum projects. He has published in the areas of Matauranga Maori, traditional ecological knowledge, digitisation of indigenous knowledge, language revitalisation, linguistics, language teaching and curriculum development.",0000-0002-5415-9960,35365484000
Jesse,Whitehead,"Whitehead, J",University of Waikato,Te Ngira Institute for Population Research,Principal Investigator,Principal Investigator,NA,,2023,"Jesse Whitehead is a Senior Research Fellow at Te Ngira: Institute for Population Research at the University of Waikato. With a primary focus on health equity and population health, Jesse’s interdisciplinary research integrates insights from fields such as rural studies, demography, and Geographic Information Systems. Jesse currently leads several research projects, including examining the impact of childhood residential mobility, exploring spatio-temporal variation in rural hospital admissions, and co-leading He Raraunga Haapori, a project within the Thriving Regions National Science Challenge which includes collaboratively developing interactive StoryMaps to highlight the moemoea and aspirations of mana whenua and haukainga.
",0000-0001-9682-7544,57204169345
Siouxsie,Wiles,"Wiles, S",University of Auckland,School of Molecular Medicine and Pathology,Principal Investigator,Principal Investigator,NA,Co-production,2015,"Siouxsie is an award-winning scientist who has made a career of manipulating microbes. She and her team make bacteria glow in the dark to understand how infectious microbes make us sick and to find new medicines. In 2017, she published her book, Antibiotic resistance: the end of modern medicine?, and in 2019 was made a member of the New Zealand Order of Merit for services to microbiology and science communication. When Covid-19 emerged, Siouxsie joined forces with Spinoff cartoonist Toby Morris to make the science of the pandemic clear and understandable. Their award-winning graphics have been translated into multiple languages and adapted by governments and organisations around the world. Siouxsie was the 2021 Kiwibank New Zealander of the Year.",0000-0002-0467-0015,6603848952
Phil,Wilson,"Wilson, P",University of Canterbury,School of Mathematics and Statistics,Principal Investigator,Principal Investigator,NA,Maths Craft,2019,"Phil is a Senior Lecturer in the School of Mathematics and Statistics at the University of Canterbury, and is Deputy Director of the not-for-profit initiative Maths Craft New Zealand. Trained in mathematical fluid dynamics in the UK, Phil worked in biomathematics in Japan, and now likes to apply mathematics to problems in geology, oceanography, industry, sport, and space. He also works in the philosophy of mathematics, and is a Fellow of the New Zealand Mathematical Society.",0000-0002-4563-9399,8410912000
Kristin,Wilson,"Wilson, K",Victoria University of Wellington,School for Science in Society,Communications Officer,Te Tira Maurikura,NA,Dry Valleys,2022,"Kristin Wilson is currently a PhD candidate at the School for Science in Society, Te Herenga Waka – Victoria University of Wellington. Working on Te P?naha Matatini’s McMurdo Dry Valleys project, Kristin’s research joins social-ecological systems/complexity theory with science studies, spatial analysis, and computational modelling methods to study the intertwined relationship of science and environment in Antarctica, broadly construed as “balance”. This interdisciplinary work spans the fields of geography, sustainability science, science studies, and computational social science – and is a search for better models.",NA,NA
Ilze,Ziedins,"Ziedins, I",University of Auckland,School of Statistics,Principal Investigator,Principal Investigator,Complexity,Modelling Healthcare Delivery,2016,"Ilze is an Associate Professor in the Department of Statistics at the University of Auckland. Her main research interests are in the modelling, analysis and optimisation of stochastic networks (queueing networks), as applied to healthcare systems and communications and transportation networks. Ilze’s current projects include modelling and optimisation of patient flow in hospital systems, and system optimal and user optimal admission and routing controls in queueing networks.",0000-0001-7615-4418,6603639295
Uli,Zuelicke,"Zuelicke, U",Victoria University of Wellington,School of Chemical and Physcial Sciences,Principal Investigator,Principal Investigator,NA,Knowledge Sharing,2015,"Uli Zuelicke is a Professor of Physics at Victoria University of Wellington and a Fellow of the New Zealand Institute of Physics. With a background in theoretical condensed-matter physics, Uli’s research interests include mesoscopic and low-dimensional systems, spins in semiconductors, and complex materials such as graphene. He enjoys solving theoretical problems and collaborating with colleagues on experiments of mutual interest.",0000-0001-5055-3330,55971424300
